allow_cut,block_cut,warn_band_width,pct_allow_all,pct_warn_all,pct_block_all,attack_pct_allow,attack_pct_warn,attack_pct_block,benign_pct_allow,benign_pct_warn,benign_pct_block,attacks_allowed_n,benign_blocked_n
0.350000,0.550000,0.200000,0.298250,0.066875,0.634875,0.001641,0.001641,0.996719,0.428263,0.095469,0.476268,4,2649
0.350000,0.600000,0.250000,0.298250,0.068375,0.633375,0.001641,0.004922,0.993437,0.428263,0.096188,0.475548,4,2645
0.350000,0.650000,0.300000,0.298250,0.071000,0.630750,0.001641,0.006153,0.992207,0.428263,0.099425,0.472312,4,2627
0.350000,0.700000,0.350000,0.298250,0.075000,0.626750,0.001641,0.006563,0.991797,0.428263,0.104998,0.466739,4,2596
0.350000,0.750000,0.400000,0.298250,0.075250,0.626500,0.001641,0.006973,0.991386,0.428263,0.105178,0.466559,4,2595
0.350000,0.800000,0.450000,0.298250,0.075375,0.626375,0.001641,0.006973,0.991386,0.428263,0.105358,0.466379,4,2594
0.350000,0.850000,0.500000,0.298250,0.075625,0.626125,0.001641,0.006973,0.991386,0.428263,0.105717,0.466019,4,2592
0.350000,0.900000,0.550000,0.298250,0.075625,0.626125,0.001641,0.006973,0.991386,0.428263,0.105717,0.466019,4,2592
0.350000,0.950000,0.600000,0.298250,0.075625,0.626125,0.001641,0.006973,0.991386,0.428263,0.105717,0.466019,4,2592
0.400000,0.550000,0.150000,0.310500,0.054625,0.634875,0.001641,0.001641,0.996719,0.445883,0.077850,0.476268,4,2649
0.400000,0.600000,0.200000,0.310500,0.056125,0.633375,0.001641,0.004922,0.993437,0.445883,0.078569,0.475548,4,2645
0.400000,0.650000,0.250000,0.310500,0.058750,0.630750,0.001641,0.006153,0.992207,0.445883,0.081805,0.472312,4,2627
0.400000,0.700000,0.300000,0.310500,0.062750,0.626750,0.001641,0.006563,0.991797,0.445883,0.087379,0.466739,4,2596
0.400000,0.750000,0.350000,0.310500,0.063000,0.626500,0.001641,0.006973,0.991386,0.445883,0.087558,0.466559,4,2595
0.400000,0.800000,0.400000,0.310500,0.063125,0.626375,0.001641,0.006973,0.991386,0.445883,0.087738,0.466379,4,2594
0.400000,0.850000,0.450000,0.310500,0.063375,0.626125,0.001641,0.006973,0.991386,0.445883,0.088098,0.466019,4,2592
0.400000,0.900000,0.500000,0.310500,0.063375,0.626125,0.001641,0.006973,0.991386,0.445883,0.088098,0.466019,4,2592
0.400000,0.950000,0.550000,0.310500,0.063375,0.626125,0.001641,0.006973,0.991386,0.445883,0.088098,0.466019,4,2592
0.450000,0.550000,0.100000,0.322375,0.042750,0.634875,0.002051,0.001231,0.996719,0.462783,0.060949,0.476268,5,2649
0.450000,0.600000,0.150000,0.322375,0.044250,0.633375,0.002051,0.004512,0.993437,0.462783,0.061668,0.475548,5,2645
0.450000,0.650000,0.200000,0.322375,0.046875,0.630750,0.002051,0.005742,0.992207,0.462783,0.064905,0.472312,5,2627
0.450000,0.700000,0.250000,0.322375,0.050875,0.626750,0.002051,0.006153,0.991797,0.462783,0.070478,0.466739,5,2596
0.450000,0.750000,0.300000,0.322375,0.051125,0.626500,0.002051,0.006563,0.991386,0.462783,0.070658,0.466559,5,2595
0.450000,0.800000,0.350000,0.322375,0.051250,0.626375,0.002051,0.006563,0.991386,0.462783,0.070838,0.466379,5,2594
0.450000,0.850000,0.400000,0.322375,0.051500,0.626125,0.002051,0.006563,0.991386,0.462783,0.071197,0.466019,5,2592
0.450000,0.900000,0.450000,0.322375,0.051500,0.626125,0.002051,0.006563,0.991386,0.462783,0.071197,0.466019,5,2592
0.450000,0.950000,0.500000,0.322375,0.051500,0.626125,0.002051,0.006563,0.991386,0.462783,0.071197,0.466019,5,2592
0.500000,0.550000,0.050000,0.364375,0.000750,0.634875,0.002461,0.000820,0.996719,0.523013,0.000719,0.476268,6,2649
0.500000,0.600000,0.100000,0.364375,0.002250,0.633375,0.002461,0.004102,0.993437,0.523013,0.001438,0.475548,6,2645
0.500000,0.650000,0.150000,0.364375,0.004875,0.630750,0.002461,0.005332,0.992207,0.523013,0.004675,0.472312,6,2627
0.500000,0.700000,0.200000,0.364375,0.008875,0.626750,0.002461,0.005742,0.991797,0.523013,0.010248,0.466739,6,2596
0.500000,0.750000,0.250000,0.364375,0.009125,0.626500,0.002461,0.006153,0.991386,0.523013,0.010428,0.466559,6,2595
0.500000,0.800000,0.300000,0.364375,0.009250,0.626375,0.002461,0.006153,0.991386,0.523013,0.010608,0.466379,6,2594
0.500000,0.850000,0.350000,0.364375,0.009500,0.626125,0.002461,0.006153,0.991386,0.523013,0.010967,0.466019,6,2592
