threshold,tp,tn,fp,fn,precision,recall,f1
0.0000,2438,0,5562,0,0.304750,1.000000,0.467139
0.0100,2438,0,5562,0,0.304750,1.000000,0.467139
0.0200,2438,0,5562,0,0.304750,1.000000,0.467139
0.0300,2438,0,5562,0,0.304750,1.000000,0.467139
0.0400,2438,0,5562,0,0.304750,1.000000,0.467139
0.0500,2438,0,5562,0,0.304750,1.000000,0.467139
0.0600,2438,0,5562,0,0.304750,1.000000,0.467139
0.0700,2438,0,5562,0,0.304750,1.000000,0.467139
0.0800,2438,0,5562,0,0.304750,1.000000,0.467139
0.0900,2438,0,5562,0,0.304750,1.000000,0.467139
0.1000,2438,0,5562,0,0.304750,1.000000,0.467139
0.1100,2438,0,5562,0,0.304750,1.000000,0.467139
0.1200,2438,0,5562,0,0.304750,1.000000,0.467139
0.1300,2438,683,4879,0,0.333197,1.000000,0.499846
0.1400,2438,683,4879,0,0.333197,1.000000,0.499846
0.1500,2438,683,4879,0,0.333197,1.000000,0.499846
0.1600,2438,683,4879,0,0.333197,1.000000,0.499846
0.1700,2438,683,4879,0,0.333197,1.000000,0.499846
0.1800,2438,683,4879,0,0.333197,1.000000,0.499846
0.1900,2438,683,4879,0,0.333197,1.000000,0.499846
0.2000,2438,683,4879,0,0.333197,1.000000,0.499846
0.2100,2438,683,4879,0,0.333197,1.000000,0.499846
0.2200,2438,693,4869,0,0.333653,1.000000,0.500359
0.2300,2438,1112,4450,0,0.353949,1.000000,0.522839
0.2400,2438,1167,4395,0,0.356798,1.000000,0.525941
0.2500,2437,1246,4316,1,0.360877,0.999590,0.530301
0.2600,2437,1303,4259,1,0.363949,0.999590,0.533611
0.2700,2437,1358,4204,1,0.366963,0.999590,0.536843
0.2800,2437,1414,4148,1,0.370084,0.999590,0.540175
0.2900,2437,1498,4064,1,0.374865,0.999590,0.545251
0.3000,2436,1617,3945,2,0.381758,0.999180,0.552444
0.3100,2436,1767,3795,2,0.390948,0.999180,0.562003
0.3200,2436,2002,3560,2,0.406271,0.999180,0.577662
0.3300,2436,2301,3261,2,0.427593,0.999180,0.598894
0.3400,2434,2382,3180,4,0.433559,0.998359,0.604570
0.3500,2434,2382,3180,4,0.433559,0.998359,0.604570
0.3600,2434,2382,3180,4,0.433559,0.998359,0.604570
0.3700,2434,2383,3179,4,0.433636,0.998359,0.604645
0.3800,2434,2399,3163,4,0.434876,0.998359,0.605849
0.3900,2434,2461,3101,4,0.439747,0.998359,0.610561
0.4000,2434,2480,3082,4,0.441262,0.998359,0.612019
0.4100,2434,2496,3066,4,0.442545,0.998359,0.613253
0.4200,2434,2514,3048,4,0.443999,0.998359,0.614646
0.4300,2434,2534,3028,4,0.445624,0.998359,0.616203
0.4400,2434,2544,3018,4,0.446442,0.998359,0.616984
0.4500,2433,2574,2988,5,0.448810,0.997949,0.619163
0.4600,2433,2612,2950,5,0.451978,0.997949,0.622171
0.4700,2433,2666,2896,5,0.456558,0.997949,0.626497
0.4800,2433,2731,2831,5,0.462196,0.997949,0.631784
0.4900,2433,2822,2740,5,0.470327,0.997949,0.639338
0.5000,2432,2909,2653,6,0.478269,0.997539,0.646551
0.5100,2431,2912,2650,7,0.478449,0.997129,0.646629
0.5200,2431,2913,2649,7,0.478543,0.997129,0.646715
0.5300,2431,2913,2649,7,0.478543,0.997129,0.646715
0.5400,2431,2913,2649,7,0.478543,0.997129,0.646715
0.5500,2430,2913,2649,8,0.478441,0.996719,0.646535
0.5600,2426,2913,2649,12,0.478030,0.995078,0.645814
0.5700,2426,2913,2649,12,0.478030,0.995078,0.645814
0.5800,2425,2915,2647,13,0.478115,0.994668,0.645806
0.5900,2424,2917,2645,14,0.478201,0.994258,0.645797
0.6000,2422,2917,2645,16,0.477995,0.993437,0.645436
0.6100,2419,2918,2644,19,0.477780,0.992207,0.644981
0.6200,2419,2922,2640,19,0.478158,0.992207,0.645325
0.6300,2419,2926,2636,19,0.478536,0.992207,0.645669
0.6400,2419,2930,2632,19,0.478915,0.992207,0.646014
0.6500,2419,2935,2627,19,0.479390,0.992207,0.646446
0.6600,2419,2948,2614,19,0.480628,0.992207,0.647571
0.6700,2419,2964,2598,19,0.482161,0.992207,0.648960
0.6800,2419,2965,2597,19,0.482257,0.992207,0.649047
0.6900,2419,2966,2596,19,0.482353,0.992207,0.649135
0.7000,2418,2966,2596,20,0.482250,0.991797,0.648953
0.7100,2418,2966,2596,20,0.482250,0.991797,0.648953
0.7200,2418,2966,2596,20,0.482250,0.991797,0.648953
0.7300,2418,2967,2595,20,0.482346,0.991797,0.649040
0.7400,2417,2967,2595,21,0.482243,0.991386,0.648859
0.7500,2417,2967,2595,21,0.482243,0.991386,0.648859
0.7600,2417,2967,2595,21,0.482243,0.991386,0.648859
0.7700,2417,2967,2595,21,0.482243,0.991386,0.648859
0.7800,2417,2967,2595,21,0.482243,0.991386,0.648859
0.7900,2417,2967,2595,21,0.482243,0.991386,0.648859
0.8000,2417,2968,2594,21,0.482339,0.991386,0.648946
0.8100,2417,2968,2594,21,0.482339,0.991386,0.648946
0.8200,2417,2968,2594,21,0.482339,0.991386,0.648946
0.8300,2417,2968,2594,21,0.482339,0.991386,0.648946
0.8400,2417,2969,2593,21,0.482435,0.991386,0.649033
0.8500,2417,2970,2592,21,0.482531,0.991386,0.649120
0.8600,2417,2970,2592,21,0.482531,0.991386,0.649120
0.8700,2417,2970,2592,21,0.482531,0.991386,0.649120
0.8800,2417,2970,2592,21,0.482531,0.991386,0.649120
0.8900,2417,2970,2592,21,0.482531,0.991386,0.649120
0.9000,2417,2970,2592,21,0.482531,0.991386,0.649120
0.9100,2417,2970,2592,21,0.482531,0.991386,0.649120
0.9200,2417,2970,2592,21,0.482531,0.991386,0.649120
0.9300,2417,2970,2592,21,0.482531,0.991386,0.649120
0.9400,2417,2970,2592,21,0.482531,0.991386,0.649120
0.9500,2417,2971,2591,21,0.482628,0.991386,0.649208
0.9600,2415,3052,2510,23,0.490355,0.990566,0.655983
0.9700,2401,3147,2415,37,0.498547,0.984824,0.661980
0.9800,2347,3229,2333,91,0.501496,0.962674,0.659455
0.9900,2260,3332,2230,178,0.503341,0.926989,0.652425
1.0000,2183,3440,2122,255,0.507085,0.895406,0.647486
