layer,threshold,tp,tn,fp,fn,precision,recall,f1
l1_regex,0.0000,161526,0,165627,0,0.493732,1.000000,0.661072
l1_regex,0.0100,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0200,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0300,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0400,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0500,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0600,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0700,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0800,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.0900,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1000,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1100,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1200,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1300,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1400,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1500,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1600,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1700,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1800,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.1900,16237,154751,10876,145289,0.598864,0.100523,0.172149
l1_regex,0.2000,16222,154760,10867,145304,0.598841,0.100430,0.172012
l1_regex,0.2100,16222,154760,10867,145304,0.598841,0.100430,0.172012
l1_regex,0.2200,16222,154760,10867,145304,0.598841,0.100430,0.172012
l1_regex,0.2300,15822,154924,10703,145704,0.596494,0.097953,0.168274
l1_regex,0.2400,15822,154924,10703,145704,0.596494,0.097953,0.168274
l1_regex,0.2500,15822,154924,10703,145704,0.596494,0.097953,0.168274
l1_regex,0.2600,15677,155207,10420,145849,0.600720,0.097056,0.167112
l1_regex,0.2700,15677,155207,10420,145849,0.600720,0.097056,0.167112
l1_regex,0.2800,15677,155207,10420,145849,0.600720,0.097056,0.167112
l1_regex,0.2900,15663,155208,10419,145863,0.600529,0.096969,0.166976
l1_regex,0.3000,15663,155208,10419,145863,0.600529,0.096969,0.166976
l1_regex,0.3100,7633,165268,359,153893,0.955080,0.047256,0.090055
l1_regex,0.3200,7633,165268,359,153893,0.955080,0.047256,0.090055
l1_regex,0.3300,7633,165268,359,153893,0.955080,0.047256,0.090055
l1_regex,0.3400,7602,165271,356,153924,0.955265,0.047064,0.089708
l1_regex,0.3500,7602,165271,356,153924,0.955265,0.047064,0.089708
l1_regex,0.3600,7602,165271,356,153924,0.955265,0.047064,0.089708
l1_regex,0.3700,7602,165271,356,153924,0.955265,0.047064,0.089708
l1_regex,0.3800,7602,165271,356,153924,0.955265,0.047064,0.089708
l1_regex,0.3900,7568,165272,355,153958,0.955194,0.046853,0.089325
l1_regex,0.4000,7568,165272,355,153958,0.955194,0.046853,0.089325
l1_regex,0.4100,7568,165272,355,153958,0.955194,0.046853,0.089325
l1_regex,0.4200,7568,165272,355,153958,0.955194,0.046853,0.089325
l1_regex,0.4300,7568,165272,355,153958,0.955194,0.046853,0.089325
l1_regex,0.4400,7568,165272,355,153958,0.955194,0.046853,0.089325
l1_regex,0.4500,7568,165272,355,153958,0.955194,0.046853,0.089325
l1_regex,0.4600,7451,165298,329,154075,0.957712,0.046129,0.088018
l1_regex,0.4700,7450,165298,329,154076,0.957707,0.046123,0.088007
l1_regex,0.4800,7448,165298,329,154078,0.957696,0.046110,0.087984
l1_regex,0.4900,7447,165301,326,154079,0.958060,0.046104,0.087975
l1_regex,0.5000,7446,165301,326,154080,0.958055,0.046098,0.087963
l1_regex,0.5100,7446,165301,326,154080,0.958055,0.046098,0.087963
l1_regex,0.5200,7446,165301,326,154080,0.958055,0.046098,0.087963
l1_regex,0.5300,7446,165301,326,154080,0.958055,0.046098,0.087963
l1_regex,0.5400,7446,165301,326,154080,0.958055,0.046098,0.087963
l1_regex,0.5500,7446,165301,326,154080,0.958055,0.046098,0.087963
l1_regex,0.5600,7446,165301,326,154080,0.958055,0.046098,0.087963
l1_regex,0.5700,7443,165301,326,154083,0.958038,0.046079,0.087929
l1_regex,0.5800,7443,165301,326,154083,0.958038,0.046079,0.087929
l1_regex,0.5900,7443,165301,326,154083,0.958038,0.046079,0.087929
l1_regex,0.6000,7443,165301,326,154083,0.958038,0.046079,0.087929
l1_regex,0.6100,7433,165301,326,154093,0.957984,0.046017,0.087816
l1_regex,0.6200,7433,165301,326,154093,0.957984,0.046017,0.087816
l1_regex,0.6300,7433,165301,326,154093,0.957984,0.046017,0.087816
l1_regex,0.6400,7428,165301,326,154098,0.957957,0.045986,0.087760
l1_regex,0.6500,7428,165301,326,154098,0.957957,0.045986,0.087760
l1_regex,0.6600,7422,165311,316,154104,0.959163,0.045949,0.087697
l1_regex,0.6700,7411,165311,316,154115,0.959104,0.045881,0.087573
l1_regex,0.6800,7411,165311,316,154115,0.959104,0.045881,0.087573
l1_regex,0.6900,7409,165311,316,154117,0.959094,0.045869,0.087550
