threshold,tp,tn,fp,fn,precision,recall,f1
0.0000,161526,0,165627,0,0.493732,1.000000,0.661072
0.0100,161526,0,165627,0,0.493732,1.000000,0.661072
0.0200,161526,0,165627,0,0.493732,1.000000,0.661072
0.0300,161526,0,165627,0,0.493732,1.000000,0.661072
0.0400,161526,0,165627,0,0.493732,1.000000,0.661072
0.0500,161526,0,165627,0,0.493732,1.000000,0.661072
0.0600,161526,0,165627,0,0.493732,1.000000,0.661072
0.0700,161526,0,165627,0,0.493732,1.000000,0.661072
0.0800,161526,0,165627,0,0.493732,1.000000,0.661072
0.0900,161526,0,165627,0,0.493732,1.000000,0.661072
0.1000,161526,0,165627,0,0.493732,1.000000,0.661072
0.1100,161526,0,165627,0,0.493732,1.000000,0.661072
0.1200,161526,0,165627,0,0.493732,1.000000,0.661072
0.1300,161517,1671,163956,9,0.496253,0.999944,0.663316
0.1400,161517,1672,163955,9,0.496255,0.999944,0.663317
0.1500,161517,1672,163955,9,0.496255,0.999944,0.663317
0.1600,161517,1672,163955,9,0.496255,0.999944,0.663317
0.1700,161517,1672,163955,9,0.496255,0.999944,0.663317
0.1800,161517,1672,163955,9,0.496255,0.999944,0.663317
0.1900,161517,1672,163955,9,0.496255,0.999944,0.663317
0.2000,161517,1672,163955,9,0.496255,0.999944,0.663317
0.2100,161517,1672,163955,9,0.496255,0.999944,0.663317
0.2200,161517,1709,163918,9,0.496311,0.999944,0.663367
0.2300,161461,3111,162516,65,0.498372,0.999598,0.665129
0.2400,161448,3541,162086,78,0.499014,0.999517,0.665683
0.2500,161430,4105,161522,96,0.499858,0.999406,0.666408
0.2600,161421,4757,160870,105,0.500855,0.999350,0.667281
0.2700,161418,5601,160026,108,0.502165,0.999331,0.668439
0.2800,161406,6690,158937,120,0.503854,0.999257,0.669917
0.2900,161391,8061,157566,135,0.505996,0.999164,0.671787
0.3000,161369,9779,155848,157,0.508702,0.999028,0.674136
0.3100,161333,12096,153531,193,0.512389,0.998805,0.677315
0.3200,161270,15230,150397,256,0.517443,0.998415,0.681625
0.3300,161118,19130,146497,408,0.523765,0.997474,0.686864
0.3400,160968,21184,144443,558,0.527054,0.996545,0.689463
0.3500,160963,21217,144410,563,0.527103,0.996514,0.689498
0.3600,160963,21217,144410,563,0.527103,0.996514,0.689498
0.3700,160963,21220,144407,563,0.527108,0.996514,0.689503
0.3800,160957,21400,144227,569,0.527410,0.996477,0.689752
0.3900,160940,21698,143929,586,0.527899,0.996372,0.690145
0.4000,160922,22055,143572,604,0.528490,0.996261,0.690623
0.4100,160897,22393,143234,629,0.529038,0.996106,0.691054
0.4200,160860,22907,142720,666,0.529877,0.995877,0.691713
0.4300,160825,23556,142071,701,0.530958,0.995660,0.692581
0.4400,160785,24243,141384,741,0.532103,0.995413,0.693495
0.4500,160721,25226,140401,805,0.533740,0.995016,0.694787
0.4600,160627,26468,139159,899,0.535806,0.994434,0.696392
0.4700,160466,28105,137522,1060,0.538498,0.993438,0.698416
0.4800,160150,30449,135178,1376,0.542278,0.991481,0.701099
0.4900,159511,33910,131717,2015,0.547719,0.987525,0.704625
0.5000,158036,39048,126579,3490,0.555262,0.978394,0.708458
0.5100,157300,41092,124535,4226,0.558128,0.973837,0.709580
0.5200,157221,41942,123685,4305,0.559693,0.973348,0.710713
0.5300,157160,42505,123122,4366,0.560721,0.972970,0.711440
0.5400,157130,42928,122699,4396,0.561522,0.972785,0.712035
0.5500,157091,43309,122318,4435,0.562226,0.972543,0.712536
0.5600,157051,43634,121993,4475,0.562818,0.972295,0.712945
0.5700,157011,43912,121715,4515,0.563317,0.972048,0.713278
0.5800,156966,44172,121455,4560,0.563772,0.971769,0.713568
0.5900,156922,44446,121181,4604,0.564259,0.971497,0.713884
0.6000,156881,44680,120947,4645,0.564670,0.971243,0.714144
0.6100,156828,44899,120728,4698,0.565032,0.970915,0.714345
0.6200,156784,45042,120585,4742,0.565254,0.970642,0.714449
0.6300,156744,45197,120430,4782,0.565508,0.970395,0.714584
0.6400,156680,45392,120235,4846,0.565805,0.969999,0.714714
0.6500,156578,45667,119960,4948,0.566208,0.969367,0.714864
