allow_cut,block_cut,warn_band_width,pct_allow_all,pct_warn_all,pct_block_all,attack_pct_allow,attack_pct_warn,attack_pct_block,benign_pct_allow,benign_pct_warn,benign_pct_block,attacks_allowed_n,benign_blocked_n
0.350000,0.550000,0.200000,0.066574,0.079363,0.854062,0.003486,0.023971,0.972543,0.128101,0.133384,0.738515,563,122318
0.350000,0.600000,0.250000,0.066574,0.084196,0.849230,0.003486,0.025271,0.971243,0.128101,0.141662,0.730237,563,120947
0.350000,0.650000,0.300000,0.066574,0.088139,0.845286,0.003486,0.027147,0.969367,0.128101,0.147621,0.724278,563,119960
0.350000,0.700000,0.350000,0.066574,0.104089,0.829337,0.003486,0.041857,0.954657,0.128101,0.164780,0.707119,563,117118
0.350000,0.750000,0.400000,0.066574,0.112797,0.820628,0.003486,0.052970,0.943545,0.128101,0.171144,0.700755,563,116064
0.350000,0.800000,0.450000,0.066574,0.114891,0.818534,0.003486,0.056232,0.940282,0.128101,0.172098,0.699801,563,115906
0.350000,0.850000,0.500000,0.066574,0.116224,0.817202,0.003486,0.058096,0.938419,0.128101,0.172913,0.698986,563,115771
0.350000,0.900000,0.550000,0.066574,0.116884,0.816541,0.003486,0.059377,0.937137,0.128101,0.172967,0.698932,563,115762
0.350000,0.950000,0.600000,0.066574,0.116954,0.816471,0.003486,0.059520,0.936995,0.128101,0.172967,0.698932,563,115762
0.400000,0.550000,0.150000,0.069261,0.076677,0.854062,0.003739,0.023718,0.972543,0.133161,0.128324,0.738515,604,122318
0.400000,0.600000,0.200000,0.069261,0.081509,0.849230,0.003739,0.025018,0.971243,0.133161,0.136602,0.730237,604,120947
0.400000,0.650000,0.250000,0.069261,0.085452,0.845286,0.003739,0.026894,0.969367,0.133161,0.142561,0.724278,604,119960
0.400000,0.700000,0.300000,0.069261,0.101402,0.829337,0.003739,0.041603,0.954657,0.133161,0.159720,0.707119,604,117118
0.400000,0.750000,0.350000,0.069261,0.110111,0.820628,0.003739,0.052716,0.943545,0.133161,0.166084,0.700755,604,116064
0.400000,0.800000,0.400000,0.069261,0.112204,0.818534,0.003739,0.055979,0.940282,0.133161,0.167038,0.699801,604,115906
0.400000,0.850000,0.450000,0.069261,0.113537,0.817202,0.003739,0.057842,0.938419,0.133161,0.167853,0.698986,604,115771
0.400000,0.900000,0.500000,0.069261,0.114197,0.816541,0.003739,0.059124,0.937137,0.133161,0.167907,0.698932,604,115762
0.400000,0.950000,0.550000,0.069261,0.114268,0.816471,0.003739,0.059266,0.936995,0.133161,0.167907,0.698932,604,115762
0.450000,0.550000,0.100000,0.079568,0.066370,0.854062,0.004984,0.022473,0.972543,0.152306,0.109179,0.738515,805,122318
0.450000,0.600000,0.150000,0.079568,0.071202,0.849230,0.004984,0.023773,0.971243,0.152306,0.117457,0.730237,805,120947
0.450000,0.650000,0.200000,0.079568,0.075145,0.845286,0.004984,0.025649,0.969367,0.152306,0.123416,0.724278,805,119960
0.450000,0.700000,0.250000,0.079568,0.091095,0.829337,0.004984,0.040359,0.954657,0.152306,0.140575,0.707119,805,117118
0.450000,0.750000,0.300000,0.079568,0.099803,0.820628,0.004984,0.051472,0.943545,0.152306,0.146939,0.700755,805,116064
0.450000,0.800000,0.350000,0.079568,0.101897,0.818534,0.004984,0.054734,0.940282,0.152306,0.147893,0.699801,805,115906
0.450000,0.850000,0.400000,0.079568,0.103230,0.817202,0.004984,0.056598,0.938419,0.152306,0.148708,0.698986,805,115771
0.450000,0.900000,0.450000,0.079568,0.103890,0.816541,0.004984,0.057879,0.937137,0.152306,0.148762,0.698932,805,115762
0.450000,0.950000,0.500000,0.079568,0.103961,0.816471,0.004984,0.058022,0.936995,0.152306,0.148762,0.698932,805,115762
0.500000,0.550000,0.050000,0.130025,0.015913,0.854062,0.021606,0.005850,0.972543,0.235759,0.025726,0.738515,3490,122318
0.500000,0.600000,0.100000,0.130025,0.020746,0.849230,0.021606,0.007151,0.971243,0.235759,0.034004,0.730237,3490,120947
0.500000,0.650000,0.150000,0.130025,0.024689,0.845286,0.021606,0.009026,0.969367,0.235759,0.039963,0.724278,3490,119960
0.500000,0.700000,0.200000,0.130025,0.040638,0.829337,0.021606,0.023736,0.954657,0.235759,0.057122,0.707119,3490,117118
0.500000,0.750000,0.250000,0.130025,0.049347,0.820628,0.021606,0.034849,0.943545,0.235759,0.063486,0.700755,3490,116064
0.500000,0.800000,0.300000,0.130025,0.051441,0.818534,0.021606,0.038112,0.940282,0.235759,0.064440,0.699801,3490,115906
0.500000,0.850000,0.350000,0.130025,0.052773,0.817202,0.021606,0.039975,0.938419,0.235759,0.065255,0.698986,3490,115771
